parishName,lat,lon,has24HourAdoration,activityName,dayOfWeek,hourOfDay,minute,duration
"Assumption, Broadview Heights",41.316368,-81.683911,FALSE,mass,6,8,0,60
"Assumption, Broadview Heights",41.316368,-81.683911,FALSE,mass,6,16,0,60
"Assumption, Broadview Heights",41.316368,-81.683911,FALSE,mass,0,7,0,60
"Assumption, Broadview Heights",41.316368,-81.683911,FALSE,mass,0,9,0,60
"Assumption, Broadview Heights",41.316368,-81.683911,FALSE,mass,0,11,30,60
"Assumption, Broadview Heights",41.316368,-81.683911,FALSE,mass,0,18,0,60
"Assumption, Broadview Heights",41.316368,-81.683911,FALSE,mass,1,6,0,60
"Assumption, Broadview Heights",41.316368,-81.683911,FALSE,mass,1,8,0,60
"Assumption, Broadview Heights",41.316368,-81.683911,FALSE,mass,2,6,0,60
"Assumption, Broadview Heights",41.316368,-81.683911,FALSE,mass,2,8,0,60
"Assumption, Broadview Heights",41.316368,-81.683911,FALSE,mass,3,6,0,60
"Assumption, Broadview Heights",41.316368,-81.683911,FALSE,mass,3,8,0,60
"Assumption, Broadview Heights",41.316368,-81.683911,FALSE,mass,4,6,0,60
"Assumption, Broadview Heights",41.316368,-81.683911,FALSE,mass,4,8,0,60
"Assumption, Broadview Heights",41.316368,-81.683911,FALSE,mass,5,6,0,60
"Assumption, Broadview Heights",41.316368,-81.683911,FALSE,mass,5,8,0,60
"Assumption, Broadview Heights",41.316368,-81.683911,FALSE,confession,6,15,0,45
"Blessed Trinity, Akron",41.101228,-81.504139,FALSE,mass,6,17,0,60
"Blessed Trinity, Akron",41.101228,-81.504139,FALSE,mass,0,8,0,60
"Blessed Trinity, Akron",41.101228,-81.504139,FALSE,mass,0,11,0,60
"Blessed Trinity, Akron",41.101228,-81.504139,FALSE,mass,1,8,0,60
"Blessed Trinity, Akron",41.101228,-81.504139,FALSE,mass,2,8,0,60
"Blessed Trinity, Akron",41.101228,-81.504139,FALSE,mass,3,17,30,60
"Blessed Trinity, Akron",41.101228,-81.504139,FALSE,mass,5,8,0,60
"Blessed Trinity, Akron",41.101228,-81.504139,FALSE,confession,1,18,0,60
"Blessed Trinity, Akron",41.101228,-81.504139,FALSE,confession,3,18,0,60
"Blessed Trinity, Akron",41.101228,-81.504139,FALSE,confession,5,18,0,60
"Blessed Trinity, Akron",41.101228,-81.504139,FALSE,adoration,1,18,0,60
"Blessed Trinity, Akron",41.101228,-81.504139,FALSE,adoration,3,18,0,60
"Blessed Trinity, Akron",41.101228,-81.504139,FALSE,adoration,5,18,0,60
"Blessed Trinity, Cleveland",41.433964,-81.791528,FALSE,mass,6,16,0,60
"Blessed Trinity, Cleveland",41.433964,-81.791528,FALSE,mass,0,9,0,60
"Blessed Trinity, Cleveland",41.433964,-81.791528,FALSE,mass,0,11,0,60
"Blessed Trinity, Cleveland",41.433964,-81.791528,FALSE,mass,1,11,0,60
"Blessed Trinity, Cleveland",41.433964,-81.791528,FALSE,mass,2,8,0,60
"Blessed Trinity, Cleveland",41.433964,-81.791528,FALSE,mass,3,8,0,60
"Blessed Trinity, Cleveland",41.433964,-81.791528,FALSE,mass,5,8,0,60
"Cathedral of Saint John the Evangelist, Cleveland",41.503019,-81.688102,FALSE,mass,6,16,30,60
"Cathedral of Saint John the Evangelist, Cleveland",41.503019,-81.688102,FALSE,mass,0,8,0,60
"Cathedral of Saint John the Evangelist, Cleveland",41.503019,-81.688102,FALSE,mass,0,10,30,60
"Cathedral of Saint John the Evangelist, Cleveland",41.503019,-81.688102,FALSE,mass,0,12,15,60
"Cathedral of Saint John the Evangelist, Cleveland",41.503019,-81.688102,FALSE,mass,0,17,30,60
"Cathedral of Saint John the Evangelist, Cleveland",41.503019,-81.688102,FALSE,mass,1,7,5,60
"Cathedral of Saint John the Evangelist, Cleveland",41.503019,-81.688102,FALSE,mass,1,12,0,60
"Cathedral of Saint John the Evangelist, Cleveland",41.503019,-81.688102,FALSE,mass,2,7,5,60
"Cathedral of Saint John the Evangelist, Cleveland",41.503019,-81.688102,FALSE,mass,2,12,0,60
"Cathedral of Saint John the Evangelist, Cleveland",41.503019,-81.688102,FALSE,mass,3,7,5,60
"Cathedral of Saint John the Evangelist, Cleveland",41.503019,-81.688102,FALSE,mass,3,12,0,60
"Cathedral of Saint John the Evangelist, Cleveland",41.503019,-81.688102,FALSE,mass,4,7,5,60
"Cathedral of Saint John the Evangelist, Cleveland",41.503019,-81.688102,FALSE,mass,4,12,0,60
"Cathedral of Saint John the Evangelist, Cleveland",41.503019,-81.688102,FALSE,mass,5,7,5,60
